ACTIVITY,SPECIFIC MOTION,METs
volunteer activities,Volunteer Activities:  standing; light/moderate work (e.g.; pack boxes; assemble/repair; set up chairs/furniture),3
volunteer activities,Volunteer Activities:  standing; moderate (lifting 50 lbs.; assembling at fast rate),3.5
volunteer activities,Volunteer Activities:  standing; moderate/heavy work,4.5
volunteer activities,Volunteer Activities:  typing; electric; manual; or computer,1.3
volunteer activities,Volunteer Activities:  walking; less than 2.0 mph; very slow,2
volunteer activities,Volunteer Activities:  walking; 3.0 mph; moderate speed; not carrying anything,3.5
volunteer activities,Volunteer Activities:  walking; 3.5 mph; brisk speed; not carrying anything,4.3
volunteer activities,Volunteer Activities:  walking; 2.5 mph slowly and carrying objects less than 25 lbs,3.5
volunteer activities,Volunteer Activities:  walking; 3.0 mph moderately and carrying objects less than 25 lbs; pushing something,4.5
volunteer activities,Volunteer Activities:  walking; 3.5 mph; briskly and carrying objects less than 25 lbs,4.8
volunteer activities,Volunteer Activities:  walk/stand combination; for volunteer purposes,3
